Homo sapiens,Caenorhabditis elegans,Relations,ID
5996,190409,1:m,
5997,180645,01:01,
HUMAN02263,174289,01:01,904537
6738,179425,01:01,782174
79577,177160,01:01,951970
343450,181332,n:1,
56956,181357,01:01,599705
140609,181398,n:1,595455
23046,178057,n:1,
779,177513,n:1,
252839,187840,n:1,
7139,178679,n:m,
7139,180914,n:m,
7139,CAEEL19287,n:m,
10440,177242,n:1,
127829,178405,n:1,
HUMAN02336,171983,01:01,
4660,174484,n:1,595582
127833,174120,n:1,
5877,3565809,01:01,
51094,177416,n:1,752501
HUMAN02355,181255,n:1,
1116,187733,n:m,
1116,187735,n:m,
1116,187738,n:m,
1116,182431,n:m,
1116,187357,n:m,
1118,180628,n:1,855966
493,177004,n:m,
493,177089,n:m,
6635,176668,01:01,885598
127845,173819,n:1,933889
10446,184720,n:1,595589
23114,177078,n:1,
5929,174019,01:01,731174
9911,182643,n:1,
254428,177623,01:01,
1510,180947,n:1,
553,188227,n:m,
553,184471,n:m,
23380,178079,n:1,
1939,173964,01:01,932424
9261,176914,n:1,
5208,172147,n:m,
5208,177363,n:m,759757
722,188252,n:1,
1380,185381,01:01,599611
1379,188252,n:1,
5362,246019,n:1,
55733,190374,01:01,
3756,178624,n:1,
7779,180923,01:01,
9926,CAEEL15073,01:01,
25896,174777,01:01,
5525,180100,n:1,
128387,181990,01:01,922845
28982,172203,n:1,
56950,180772,01:01,
3776,192071,01:01,
51133,179226,n:1,913994
10380,173777,01:01,943834
55699,CAEEL01989,01:01,531127
25782,172574,01:01,
4139,179912,n:1,594681
54996,176883,n:m,
54996,178729,n:m,
54996,180078,n:m,
64757,176883,n:m,
64757,178729,n:m,
64757,180078,n:m,
148362,179255,01:01,922591
388743,175326,n:m,747403
388743,190738,n:m,
824,175326,n:m,
824,190738,n:m,
8560,173327,n:m,803547
8560,177548,n:m,
4931,174974,01:01,593949
80232,178791,01:01,
149111,179801,n:1,
3930,181886,n:1,
6726,176293,01:01,742603
2052,179036,01:01,
29920,CAEEL20013,n:1,
163859,179852,01:01,
3020,181057,n:1,538850
64746,178416,01:01,897050
HUMAN02577,176256,01:01,
142,266823,01:01,
HUMAN02583,180441,n:1,
8476,179013,n:1,
65094,259530,01:01,
375,175801,n:1,853160
HUMAN02601,171963,01:01,921141
200205,172668,01:01,
84033,171990,01:01,
92815,172860,n:m,
92815,172860,n:m,
92815,172860,n:m,
92815,172860,n:m,
92815,172860,n:m,
92815,172860,n:m,
92815,172860,n:m,
92815,172860,n:m,
